"Mun","entrada/abril/202005.zip","entrada/maio/202005.zip","Diff","Percent"
"PATO BRAGADO - PR",4541776.26,4541776.26,0.00,0.00
"URUPES - SP",1484087.13,1484087.13,-0.00,-0.00
"ILHA SOLTEIRA - SP",3524255.49,3524255.49,0.00,0.00
"IGARACU DO TIETE - SP",1852237.64,1852237.64,-0.00,-0.00
"BOM SUCESSO - MG",1820383.77,1820383.77,-0.00,-0.00
"BRASILIA - DF",26525232.16,466279657.27,439754425.11,1657.87
"ANHANGUERA - GO",640433.20,640433.20,0.00,0.00
"CRISTALINA - GO",5075305.43,5075305.43,0.00,0.00
"REGINOPOLIS - SP",881287.23,881287.23,0.00,0.00
"ITATINGA - SP",1557474.70,1557474.70,-0.00,-0.00
"NOVO GAMA - GO",6382447.02,6382447.02,-0.00,-0.00
"MERCEDES - PR",2417811.34,2417811.34,-0.00,-0.00
"TACIBA - SP",880962.57,880962.57,0.00,0.00
"BARIRI - SP",2608097.28,2608097.28,0.00,0.00
"SANTA CLARA D'OESTE - SP",918064.84,918064.84,-0.00,-0.00
"SAO JOSE DA BARRA - MG",967206.62,967206.62,0.00,0.00
"ITAPURA - SP",1158737.63,1158737.63,-0.00,-0.00
"ABADIA DOS DOURADOS - MG",1133863.41,1133863.41,-0.00,-0.00
"NOVA PONTE - MG",3372091.86,3372091.86,-0.00,-0.00
"ALTEROSA - MG",1643217.32,1643217.32,0.00,0.00
"CACHOEIRA ALTA - GO",1706383.45,1706383.45,-0.00,-0.00
"FRONTEIRA - MG",1827025.37,1827025.37,-0.00,-0.00
"IBITURUNA - MG",791616.57,791616.57,0.00,0.00
"ABADIANIA - GO",2113080.86,2113080.86,-0.00,-0.00
"INACIOLANDIA - GO",1241325.42,1241325.42,0.00,0.00
"AURIFLAMA - SP",1339290.59,1339290.59,-0.00,-0.00
"IPIACU - MG",1287727.43,1287727.43,0.00,0.00
"ELOI MENDES - MG",3288354.17,3288354.17,0.00,0.00
"SALESOPOLIS - SP",2067834.37,2067834.37,-0.00,-0.00
"PRIMEIRO DE MAIO - PR",1516667.65,1516667.65,0.00,0.00
"CANA VERDE - MG",861727.70,861727.70,0.00,0.00
"CAJAMAR - SP",4210481.06,4210481.06,-0.00,-0.00
"CAPITOLIO - MG",1097842.87,1097842.87,0.00,0.00
"SANTA MARIANA - PR",1168483.89,1168483.89,0.00,0.00
"NOVA ODESSA - SP",2750299.61,2750299.61,0.00,0.00
"SERRA DO SALITRE - MG",1428152.45,1428152.45,-0.00,-0.00
"GUAIRA - PR",8356463.40,8356463.40,0.00,0.00
"SAO JOSE DAS PALMEIRAS - PR",967844.21,967844.21,0.00,0.00
"INAJA - PR",809228.88,809228.88,0.00,0.00
"AREADO - MG",1435287.57,1435287.57,0.00,0.00
"TRES PONTAS - MG",4916830.52,4916830.52,0.00,0.00
"TEODORO SAMPAIO - SP",2633877.51,2633877.51,0.00,0.00
"PAULINIA - SP",4542289.39,4542289.39,-0.00,-0.00
"SUZANAPOLIS - SP",819564.09,819564.09,-0.00,-0.00
"GUARARAPES - SP",2429054.05,2429054.05,-0.00,-0.00
"ICEM - SP",1162394.11,1162394.11,-0.00,-0.00
"AVARE - SP",7740817.41,7740817.41,-0.00,-0.00
"GUAICARA - SP",967143.04,967143.04,0.00,0.00
"MARZAGAO - GO",723297.83,723297.83,-0.00,-0.00
"XAMBIOA - TO",1269166.60,1277146.60,7980.00,0.63
"SAO VICENTE DE MINAS - MG",1005353.07,1005353.07,-0.00,-0.00
"ITUIUTABA - MG",8622218.53,8622218.53,-0.00,-0.00
"SANTANA DA PONTE PENSA - SP",632943.98,632943.98,0.00,0.00
"PIRACICABA - SP",26591539.15,26591539.15,0.00,0.00
"COQUEIRAL - MG",901419.69,901419.69,0.00,0.00
"BOTELHOS - MG",1399551.28,1399551.28,0.00,0.00
"SAO PEDRO - SP",3127288.68,3127288.68,-0.00,-0.00
"NOVA AURORA - GO",764684.32,764684.32,-0.00,-0.00
"CAPINOPOLIS - MG",1668412.30,1668412.30,0.00,0.00
"IBITINGA - SP",3421794.99,3421794.99,-0.00,-0.00
"TERRA RICA - PR",2871662.97,2871662.97,0.00,0.00
"SALTO DO ITARARE - PR",759005.34,759005.34,0.00,0.00
"RANCHO ALEGRE - PR",784024.24,784024.24,-0.00,-0.00
"SANTA INES - PR",738839.47,738839.47,0.00,0.00
"ITAU DE MINAS - MG",1522915.83,1522915.83,0.00,0.00
"ITAGUAJE - PR",808806.47,808806.47,-0.00,-0.00
"JOSE BONIFACIO - SP",2258462.43,2258462.43,-0.00,-0.00
"PROMISSAO - SP",2420145.41,2420145.41,-0.00,-0.00
"ENTRE RIOS DO OESTE - PR",3418487.40,3418487.40,0.00,0.00
"PLANURA - MG",1407462.09,1407462.09,-0.00,-0.00
